"","site_id","pfts","start_date","end_date","sensitivity.analysis","ensemble_size","notes","model_id","inputs","workflow_list_mods","submit","workflow_id","status","stage","success_status","model_name","site_name","met"
"1","756","temperate.coniferous","2004-01-01","2004-12-31","FALSE","1","Southern Pine (Subcategory), Duke Forest Pine ","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013309"", status = ""Submitted successfully"")","99000013309","list(workflow_id = ""99000013309"", status = c(""TRAIT  2022-06-18 06:39:38  2022-06-18 06:39:39  DONE  "", ""META  2022-06-18 06:39:39  2022-06-18 06:39:39  DONE  "", ""CONFIG  2022-06-18 06:39:39  2022-06-18 06:39:39  DONE  "", ""MODEL  2022-06-18 06:39:39  2022-06-18 06:39:50  DONE  "", ""OUTPUT  2022-06-18 06:39:50  2022-06-18 06:39:50  DONE  "", ""ENSEMBLE  2022-06-18 06:39:50  2022-06-18 06:39:50  DONE  "", ""FINISHED  2022-06-18 06:39:50  2022-06-18 06:39:50  DONE  ""))","FINISHED  2022-06-18 06:39:50  2022-06-18 06:39:50  DONE  ","TRUE","SIPNET","Duke Forest - loblolly pine (US-Dk3)","CRUNCEP"
"2","506","boreal.coniferous","2004-01-01","2004-12-31","FALSE","1","Boreal Pine (Subcategory), BOREAS NSA - (CA-Man)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013310"", status = ""Submitted successfully"")","99000013310","list(workflow_id = ""99000013310"", status = c(""TRAIT  2022-06-18 06:39:55  2022-06-18 06:39:56  DONE  "", ""META  2022-06-18 06:39:56  2022-06-18 06:39:56  DONE  "", ""CONFIG  2022-06-18 06:39:56  2022-06-18 06:39:56  DONE  "", ""MODEL  2022-06-18 06:39:56  2022-06-18 06:40:07  DONE  "", ""OUTPUT  2022-06-18 06:40:07  2022-06-18 06:40:07  DONE  "", ""ENSEMBLE  2022-06-18 06:40:07  2022-06-18 06:40:07  DONE  "", ""FINISHED  2022-06-18 06:40:07  2022-06-18 06:40:07  DONE  ""))","FINISHED  2022-06-18 06:40:07  2022-06-18 06:40:07  DONE  ","TRUE","SIPNET","BOREAS NSA - (CA-Man)","CRUNCEP"
"3","772","temperate.coniferous","2004-01-01","2004-12-31","FALSE","1","Intermountain (Subcategory), Niwot Ridge Forest/LTER NWT1 (US-NR1)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013311"", status = ""Submitted successfully"")","99000013311","list(workflow_id = ""99000013311"", status = c(""TRAIT  2022-06-18 06:40:12  2022-06-18 06:40:13  DONE  "", ""META  2022-06-18 06:40:13  2022-06-18 06:40:13  DONE  "", ""CONFIG  2022-06-18 06:40:13  2022-06-18 06:40:13  DONE  "", ""MODEL  2022-06-18 06:40:13  2022-06-18 06:40:24  DONE  "", ""OUTPUT  2022-06-18 06:40:24  2022-06-18 06:40:24  DONE  "", ""ENSEMBLE  2022-06-18 06:40:24  2022-06-18 06:40:24  DONE  "", ""FINISHED  2022-06-18 06:40:24  2022-06-18 06:40:24  DONE  ""))","FINISHED  2022-06-18 06:40:24  2022-06-18 06:40:24  DONE  ","TRUE","SIPNET","Niwot Ridge Forest/LTER NWT1 (US-NR1)","CRUNCEP"
"4","1000005005","tropics_BCI","2004-01-01","2004-12-31","FALSE","1","Evergreen broadleaf forest, Barro Colorado Island","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013312"", status = ""Submitted successfully"")","99000013312","list(workflow_id = ""99000013312"", status = c(""TRAIT  2022-06-18 06:40:30  2022-06-18 06:40:31  DONE  "", ""META  2022-06-18 06:40:31  2022-06-18 06:40:31  DONE  "", ""CONFIG  2022-06-18 06:40:31  2022-06-18 06:40:32  DONE  "", ""MODEL  2022-06-18 06:40:32  2022-06-18 06:40:42  DONE  "", ""OUTPUT  2022-06-18 06:40:42  2022-06-18 06:40:42  DONE  "", ""ENSEMBLE  2022-06-18 06:40:42  2022-06-18 06:40:42  DONE  "", ""FINISHED  2022-06-18 06:40:42  2022-06-18 06:40:42  DONE  ""))","FINISHED  2022-06-18 06:40:42  2022-06-18 06:40:42  DONE  ","TRUE","SIPNET","Barro Colorado Island","CRUNCEP"
"5","1000000370","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Deciduous needleleaf forest ,  Yakutsk-Larch RU-Ylr","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013313"", status = ""Submitted successfully"")","99000013313","list(workflow_id = ""99000013313"", status = c(""TRAIT  2022-06-18 06:40:47  2022-06-18 06:40:49  DONE  "", ""META  2022-06-18 06:40:49  2022-06-18 06:40:49  DONE  "", ""CONFIG  2022-06-18 06:40:49  2022-06-18 06:40:49  DONE  "", ""MODEL  2022-06-18 06:40:49  2022-06-18 06:41:00  DONE  "", ""OUTPUT  2022-06-18 06:41:00  2022-06-18 06:41:00  DONE  "", ""ENSEMBLE  2022-06-18 06:41:00  2022-06-18 06:41:00  DONE  "", ""FINISHED  2022-06-18 06:41:00  2022-06-18 06:41:00  DONE  ""))","FINISHED  2022-06-18 06:41:00  2022-06-18 06:41:00  DONE  ","TRUE","SIPNET","Yakutsk-Larch (RU-Ylr)","CRUNCEP"
"6","758","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Deciduous broadleaf forest , Harvard Forest EMS Tower/HFR1 (US-Ha1)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013314"", status = ""Submitted successfully"")","99000013314","list(workflow_id = ""99000013314"", status = c(""TRAIT  2022-06-18 06:41:04  2022-06-18 06:41:05  DONE  "", ""META  2022-06-18 06:41:05  2022-06-18 06:41:05  DONE  "", ""CONFIG  2022-06-18 06:41:05  2022-06-18 06:41:06  DONE  "", ""MODEL  2022-06-18 06:41:06  2022-06-18 06:41:16  DONE  "", ""OUTPUT  2022-06-18 06:41:16  2022-06-18 06:41:16  DONE  "", ""ENSEMBLE  2022-06-18 06:41:16  2022-06-18 06:41:17  DONE  "", ""FINISHED  2022-06-18 06:41:17  2022-06-18 06:41:17  DONE  ""))","FINISHED  2022-06-18 06:41:17  2022-06-18 06:41:17  DONE  ","TRUE","SIPNET","Harvard Forest EMS Tower/HFR1 (US-Ha1)","CRUNCEP"
"7","774","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Closed Shrublands, Sky Oaks- Old Stand (US-SO2)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013315"", status = ""Submitted successfully"")","99000013315","list(workflow_id = ""99000013315"", status = c(""TRAIT  2022-06-18 06:41:21  2022-06-18 06:41:22  DONE  "", ""META  2022-06-18 06:41:22  2022-06-18 06:41:22  DONE  "", ""CONFIG  2022-06-18 06:41:22  2022-06-18 06:41:23  DONE  "", ""MODEL  2022-06-18 06:41:23  2022-06-18 06:41:33  DONE  "", ""OUTPUT  2022-06-18 06:41:33  2022-06-18 06:41:33  DONE  "", ""ENSEMBLE  2022-06-18 06:41:33  2022-06-18 06:41:33  DONE  "", ""FINISHED  2022-06-18 06:41:33  2022-06-18 06:41:33  DONE  ""))","FINISHED  2022-06-18 06:41:33  2022-06-18 06:41:33  DONE  ","TRUE","SIPNET","Sky Oaks- Old Stand (US-SO2)","CRUNCEP"
"8","1000000095","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Open Shrublands, Sevilleta Shrubland (US-Ses)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013316"", status = ""Submitted successfully"")","99000013316","list(workflow_id = ""99000013316"", status = c(""TRAIT  2022-06-18 06:41:38  2022-06-18 06:41:39  DONE  "", ""META  2022-06-18 06:41:39  2022-06-18 06:41:39  DONE  "", ""CONFIG  2022-06-18 06:41:39  2022-06-18 06:41:40  DONE  "", ""MODEL  2022-06-18 06:41:40  2022-06-18 06:41:50  DONE  "", ""OUTPUT  2022-06-18 06:41:50  2022-06-18 06:41:50  DONE  "", ""ENSEMBLE  2022-06-18 06:41:50  2022-06-18 06:41:51  DONE  "", ""FINISHED  2022-06-18 06:41:51  2022-06-18 06:41:51  DONE  ""))","FINISHED  2022-06-18 06:41:51  2022-06-18 06:41:51  DONE  ","TRUE","SIPNET","Sevilleta (LTER desert shrubland) (US-Ses)","CRUNCEP"
"9","775","temperate.oakpinebarrens","2004-01-01","2004-12-31","FALSE","1","Woody Savanas, Tonzi Ranch","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013317"", status = ""Submitted successfully"")","99000013317","list(workflow_id = ""99000013317"", status = c(""TRAIT  2022-06-18 06:41:55  2022-06-18 06:41:56  DONE  "", ""META  2022-06-18 06:41:56  2022-06-18 06:41:56  DONE  "", ""CONFIG  2022-06-18 06:41:56  2022-06-18 06:41:57  DONE  "", ""MODEL  2022-06-18 06:41:57  2022-06-18 06:42:07  DONE  "", ""OUTPUT  2022-06-18 06:42:07  2022-06-18 06:42:07  DONE  "", ""ENSEMBLE  2022-06-18 06:42:07  2022-06-18 06:42:07  DONE  "", ""FINISHED  2022-06-18 06:42:07  2022-06-18 06:42:07  DONE  ""))","FINISHED  2022-06-18 06:42:07  2022-06-18 06:42:07  DONE  ","TRUE","SIPNET","Tonzi Ranch (US-Ton)","CRUNCEP"
"10","1000005158","semiarid.grassland-kendall","2004-01-01","2004-12-31","FALSE","1","Grasslands, Walnut Gulch Kendall Grasslands (US-Wkg)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013318"", status = ""Submitted successfully"")","99000013318","list(workflow_id = ""99000013318"", status = c(""TRAIT  2022-06-18 06:42:12  2022-06-18 06:42:13  DONE  "", ""META  2022-06-18 06:42:13  2022-06-18 06:42:13  DONE  "", ""CONFIG  2022-06-18 06:42:13  2022-06-18 06:42:14  DONE  "", ""MODEL  2022-06-18 06:42:14  2022-06-18 06:42:24  DONE  "", ""OUTPUT  2022-06-18 06:42:24  2022-06-18 06:42:24  DONE  "", ""ENSEMBLE  2022-06-18 06:42:24  2022-06-18 06:42:25  DONE  "", ""FINISHED  2022-06-18 06:42:25  2022-06-18 06:42:25  DONE  ""))","FINISHED  2022-06-18 06:42:25  2022-06-18 06:42:25  DONE  ","TRUE","SIPNET","Walnut Gulch Kendall Grasslands (US-Wkg)","CRUNCEP"
